Antibiotic,true_salt,PAST number,Source plate name,Source well,Destination plate name,Destination well,cond,cond_original,galenique,solvent,theo_transf_vol_nL,transf_vol_nL,compens_dmso_nL,compens_water_nL,MIC (uM),xMIC,Target Concentration (uM),conc_from,conc_from_mm,ratio_reel_theo
Amikacin,1.0 Hydroxide,PAST-0137186-001,Selleckchem-L3800-11,G19,96w_22atb_240710_plate5,B7,Amikacin_0.5MIC_FDA,Amikacin_0.5MIC_FDA,in 10mM Water,Water,8.5382513661202,7.5,NA,492.5,1.70765027322404,0.5,0.85382513661202,10mM,10,0.878400000000002
Amikacin,NA,NA,master plate,tube #2,96w_22atb_240710_plate5,A8,Amikacin_0.5MIC_lab,Amikacin_0.5MIC_lab,in 0.2mgmL Water,Water,NA,250,NA,250,1.70765027322404,0.5,0.85382513661202,0.2mgmL,NA,NA
Amikacin,1.0 Hydroxide,PAST-0137186-001,Selleckchem-L3800-11,G19,96w_22atb_240710_plate5,A3,Amikacin_10MIC_FDA,Amikacin_10MIC_FDA,in 10mM Water,Water,170.765027322404,170,NA,330,1.70765027322404,10,17.0765027322404,10mM,10,0.995520000000002
Amikacin,NA,NA,master plate,tube #1,96w_22atb_240710_plate5,D4,Amikacin_10MIC_lab,Amikacin_10MIC_lab,in 2mgmL Water,Water,NA,500,NA,0,1.70765027322404,10,17.0765027322404,2mgmL,NA,NA
Amikacin,1.0 Hydroxide,PAST-0137186-001,Selleckchem-L3800-11,G19,96w_22atb_240710_plate5,C7,Amikacin_1MIC_FDA,Amikacin_1MIC_FDA,in 10mM Water,Water,17.0765027322404,17.5,NA,482.5,1.70765027322404,1,1.70765027322404,10mM,10,1.0248
Amikacin,NA,NA,master plate,tube #2,96w_22atb_240710_plate5,B4,Amikacin_1MIC_lab,Amikacin_1MIC_lab,in 0.2mgmL Water,Water,NA,500,NA,0,1.70765027322404,1,1.70765027322404,0.2mgmL,NA,NA
Amikacin,1.0 Hydroxide,PAST-0137186-001,Selleckchem-L3800-11,G19,96w_22atb_240710_plate5,E5,Amikacin_5MIC_FDA,Amikacin_5MIC_FDA,in 10mM Water,Water,85.382513661202,85,NA,415,1.70765027322404,5,8.5382513661202,10mM,10,0.995520000000002
Amikacin,NA,NA,master plate,tube #1,96w_22atb_240710_plate5,F10,Amikacin_5MIC_lab,Amikacin_5MIC_lab,in 2mgmL Water,Water,NA,250,NA,250,1.70765027322404,5,8.5382513661202,2mgmL,NA,NA
Ampicillin,"No Salt, free base or acid / 3.0 H2O",PAST-0000221-003,master plate,NA,96w_22atb_240710_plate5,G11,Ampicillin_0.5MIC_FDA,Ampicillin_0.5MIC_FDA,in 1mM DMSO,DMSO,17.88750050085,17.5,482.5,NA,0.357750010017,0.5,0.1788750050085,1mM,1,0.978336800000001
Ampicillin,NA,NA,master plate,tube #4,96w_22atb_240710_plate5,C4,Ampicillin_0.5MIC_lab,Ampicillin_0.5MIC_lab,in 0.025mgmL Water,Water,NA,250,NA,250,0.357750010017,0.5,0.1788750050085,0.025mgmL,NA,NA
Ampicillin,"No Salt, free base or acid / 3.0 H2O",PAST-0000221-003,Selleckchem-L3800-04,F22,96w_22atb_240710_plate5,A5,Ampicillin_10MIC_FDA,Ampicillin_10MIC_FDA,in 10mM DMSO,DMSO,35.7750010017,35,465,NA,0.357750010017,10,3.57750010017,10mM,10,0.978336800000001
Ampicillin,NA,NA,master plate,tube #3,96w_22atb_240710_plate5,H10,Ampicillin_10MIC_lab,Ampicillin_10MIC_lab,in 0.25mgmL Water,Water,NA,500,NA,0,0.357750010017,1,0.357750010017,0.025mgmL,NA,NA
Ampicillin,"No Salt, free base or acid / 3.0 H2O",PAST-0000221-003,master plate,NA,96w_22atb_240710_plate5,F1,Ampicillin_1MIC_FDA,Ampicillin_1MIC_FDA,in 1mM DMSO,DMSO,35.7750010017,35,465,NA,0.357750010017,1,0.357750010017,1mM,1,0.978336800000001
Ampicillin,NA,NA,master plate,tube #4,96w_22atb_240710_plate5,H5,Ampicillin_1MIC_lab,Ampicillin_1MIC_lab,in 0.025mgmL Water,Water,NA,500,NA,0,0.357750010017,10,3.57750010017,0.25mgmL,NA,NA
Ampicillin,"No Salt, free base or acid / 3.0 H2O",PAST-0000221-003,Selleckchem-L3800-04,F22,96w_22atb_240710_plate5,C5,Ampicillin_5MIC_FDA,Ampicillin_5MIC_FDA,in 10mM DMSO,DMSO,17.88750050085,17.5,482.5,NA,0.357750010017,5,1.788750050085,10mM,10,0.978336800000001
Ampicillin,NA,NA,master plate,tube #3,96w_22atb_240710_plate5,E4,Ampicillin_5MIC_lab,Ampicillin_5MIC_lab,in 0.25mgmL Water,Water,NA,250,NA,250,0.357750010017,5,1.788750050085,0.25mgmL,NA,NA
BDM,NA,NA,master plate,NA,96w_22atb_240710_plate5,F2,BDM_0.5MIC_FDA,BDM_0.5MIC,in 0.3mgmL DMSO,DMSO,20,20,480,NA,0.12,0.5,0.06,0.3mgmL,0.3,1
BDM,NA,NA,master plate,NA,96w_22atb_240710_plate5,C1,BDM_10MIC_FDA,BDM_10MIC,in 0.3mgmL DMSO,DMSO,400,400,100,NA,0.12,10,1.2,0.3mgmL,0.3,1
BDM,NA,NA,master plate,NA,96w_22atb_240710_plate5,D5,BDM_1MIC_FDA,BDM_1MIC,in 0.3mgmL DMSO,DMSO,40,40,460,NA,0.12,1,0.12,0.3mgmL,0.3,1
BDM,NA,NA,master plate,NA,96w_22atb_240710_plate5,G2,BDM_5MIC_FDA,BDM_5MIC,in 0.3mgmL DMSO,DMSO,200,200,300,NA,0.12,5,0.6,0.3mgmL,0.3,1
BDM,NA,NA,master plate,tube #17,96w_22atb_240710_plate5,H11,BDM_0.5MIC_lab,BDM_0.5MIC_new,in 0.3mgmL DMSO,DMSO,20,20,480,NA,0.12,0.5,0.06,0.3mgmL,0.3,1
BDM,NA,NA,master plate,tube #17,96w_22atb_240710_plate5,H1,BDM_10MIC_lab,BDM_10MIC_new,in 0.3mgmL DMSO,DMSO,400,400,100,NA,0.12,10,1.2,0.3mgmL,0.3,1
BDM,NA,NA,master plate,tube #17,96w_22atb_240710_plate5,B9,BDM_1MIC_lab,BDM_1MIC_new,in 0.3mgmL DMSO,DMSO,40,40,460,NA,0.12,1,0.12,0.3mgmL,0.3,1
BDM,NA,NA,master plate,tube #17,96w_22atb_240710_plate5,D2,BDM_5MIC_lab,BDM_5MIC_new,in 0.3mgmL DMSO,DMSO,200,200,300,NA,0.12,5,0.6,0.3mgmL,0.3,1
Carbenicillin,2.0 Sodium(I),PAST-0003150-003,Selleckchem-L3800-03,F22,96w_22atb_240710_plate5,B2,Carbenicillin_0.5MIC_FDA,Carbenicillin_0.5MIC_FDA,in 10mM DMSO,DMSO,3.30337393400123,2.5,497.5,,0.660674786800246,0.5,0.330337393400123,10mM,10,0.756802
Carbenicillin,NA,NA,master plate,tube #6,96w_22atb_240710_plate5,E10,Carbenicillin_0.5MIC_lab,Carbenicillin_0.5MIC_lab,in 0.05mgmL Water,Water,NA,250,NA,250,0.660674786800246,0.5,0.330337393400123,0.05mgmL,NA,NA
Carbenicillin,2.0 Sodium(I),PAST-0003150-003,Selleckchem-L3800-03,F22,96w_22atb_240710_plate5,D9,Carbenicillin_10MIC_FDA,Carbenicillin_10MIC_FDA,in 10mM DMSO,DMSO,66.0674786800246,65,435,NA,0.660674786800246,10,6.60674786800246,10mM,10,0.983842600000001
Carbenicillin,NA,NA,master plate,tube #5,96w_22atb_240710_plate5,D11,Carbenicillin_10MIC_lab,Carbenicillin_10MIC_lab,in 0.5mgmL Water,Water,NA,500,NA,0,0.660674786800246,10,6.60674786800246,0.5mgmL,NA,NA
Carbenicillin,2.0 Sodium(I),PAST-0003150-003,Selleckchem-L3800-03,F22,96w_22atb_240710_plate5,C11,Carbenicillin_1MIC_FDA,Carbenicillin_1MIC_FDA,in 10mM DMSO,DMSO,6.60674786800246,7.5,492.5,NA,0.660674786800246,1,0.660674786800246,10mM,10,1.135203
Carbenicillin,NA,NA,master plate,tube #6,96w_22atb_240710_plate5,H3,Carbenicillin_1MIC_lab,Carbenicillin_1MIC_lab,in 0.05mgmL Water,Water,NA,500,NA,0,0.660674786800246,1,0.660674786800246,0.05mgmL,NA,NA
Carbenicillin,2.0 Sodium(I),PAST-0003150-003,Selleckchem-L3800-03,F22,96w_22atb_240710_plate5,B10,Carbenicillin_5MIC_FDA,Carbenicillin_5MIC_FDA,in 10mM DMSO,DMSO,33.0337393400123,32.5,467.5,NA,0.660674786800246,5,3.30337393400123,10mM,10,0.983842600000001
Carbenicillin,NA,NA,master plate,tube #5,96w_22atb_240710_plate5,A11,Carbenicillin_5MIC_lab,Carbenicillin_5MIC_lab,in 0.5mgmL Water,Water,NA,250,NA,250,0.660674786800246,5,3.30337393400123,0.5mgmL,NA,NA
Ciprofloxacin,1.0 Hydrochloride,PAST-0136946-001,Selleckchem-L3800-09,F18,96w_22atb_240710_plate5,A2,Ciprofloxacin_0.5MIC_FDA,Ciprofloxacin_0.5MIC_FDA,in 10mM DMSO,DMSO,3.77249159488872,5,495,NA,0.754498318977745,0.5,0.377249159488872,10mM,10,1.325384
Ciprofloxacin,NA,NA,master plate,tube #8,96w_22atb_240710_plate5,D7,Ciprofloxacin_0.5MIC_lab,Ciprofloxacin_0.5MIC_lab,in 0.05mgmL Water,Water,NA,250,NA,250,0.754498318977745,0.5,0.377249159488872,0.05mgmL,NA,NA
Ciprofloxacin,1.0 Hydrochloride,PAST-0136946-001,Selleckchem-L3800-09,F18,96w_22atb_240710_plate5,G4,Ciprofloxacin_10MIC_FDA,Ciprofloxacin_10MIC_FDA,in 10mM DMSO,DMSO,75.4498318977745,75,425,NA,0.754498318977745,10,7.54498318977745,10mM,10,0.994038
