Antibiotic,true_salt,PAST number,Source plate name,Source well,Destination plate name,Destination well,cond,galenique,solvent,theo_transf_vol_nL,transf_vol_nL,compens_dmso_nL,compens_water_nL,MIC (uM),xMIC,Target Concentration (uM),conc_from,conc_from_mm,ratio_reel_theo
Amoxicillin,"No Salt, free base or acid",PAST-0000352-004,master plate,NA,96w_22atb_240703_plate4,F7,Amoxicillin_0.5MIC,in 1mM DMSO,DMSO,17.1040748747982,17.5,472.5,0,0.342081497495963,0.5,0.171040748747982,1mM,1,1.023148
Amoxicillin,"No Salt, free base or acid",PAST-0000352-004,master plate,NA,96w_22atb_240703_plate4,G11,Amoxicillin_1MIC,in 1mM DMSO,DMSO,34.2081497495963,35,455,0,0.342081497495963,1,0.342081497495963,1mM,1,1.023148
Ampicillin,"No Salt, free base or acid / 3.0 H2O",PAST-0000221-003,master plate,NA,96w_22atb_240703_plate4,C2,Ampicillin_0.5MIC,in 1mM DMSO,DMSO,17.88750050085,17.5,472.5,0,0.357750010017,0.5,0.1788750050085,1mM,1,0.978336800000001
Ampicillin,"No Salt, free base or acid / 3.0 H2O",PAST-0000221-003,master plate,NA,96w_22atb_240703_plate4,F10,Ampicillin_1MIC,in 1mM DMSO,DMSO,35.7750010017,35,455,0,0.357750010017,1,0.357750010017,1mM,1,0.978336800000001
BDM_new,NA,tube #17,master plate,NA,96w_22atb_240703_plate4,A7,BDM_0.5MIC,in 0.3mgmL DMSO,DMSO,20,20,470,0,0.12,0.5,0.06,0.3mgmL,0.3,1
BDM_new,NA,tube #17,master plate,NA,96w_22atb_240703_plate4,H1,BDM_10MIC,in 0.3mgmL DMSO,DMSO,400,400,90,0,0.12,10,1.2,0.3mgmL,0.3,1
BDM_new,NA,tube #17,master plate,NA,96w_22atb_240703_plate4,G9,BDM_1MIC,in 0.3mgmL DMSO,DMSO,40,40,450,0,0.12,1,0.12,0.3mgmL,0.3,1
BDM_new,NA,tube #17,master plate,NA,96w_22atb_240703_plate4,F3,BDM_5MIC,in 0.3mgmL DMSO,DMSO,200,200,290,0,0.12,5,0.6,0.3mgmL,0.3,1
Cefotaxim,"No Salt, free base or acid",PAST-0136216-001,master plate,NA,96w_22atb_240703_plate4,H6,Cefotaxim_0.5MIC,in 1mM DMSO,DMSO,13.173205699607,12.5,477.5,0,0.26346411399214,0.5,0.13173205699607,1mM,1,0.948895833333333
Doxycycline,"No Salt, free base or acid",PAST-0136359-001,master plate,NA,96w_22atb_240703_plate4,D10,Doxycycline_0.5MIC,in 1mM DMSO,DMSO,13.50013500135,12.5,477.5,0,0.270002700027,0.5,0.1350013500135,1mM,1,0.925916666666668
Gepotidacin,NA,NA,master plate,NA,96w_22atb_240703_plate4,E1,Gepotidacin_0.5MIC,in 1mM DMSO,DMSO,22.2955498082582,22.5,467.5,0,0.446,0.5,0.222955498082582,1mM,1,1.00917
Gepotidacin,NA,NA,master plate,NA,96w_22atb_240703_plate4,G3,Gepotidacin_10MIC,in 1mM DMSO,DMSO,445.910996165165,445,45,0,0.446,10,4.45910996165165,1mM,1,0.997957000000001
Gepotidacin,NA,NA,master plate,NA,96w_22atb_240703_plate4,E8,Gepotidacin_1MIC,in 1mM DMSO,DMSO,44.5910996165165,45,445,0,0.446,1,0.445910996165165,1mM,1,1.00917
Gepotidacin,NA,NA,master plate,NA,96w_22atb_240703_plate4,A12,Gepotidacin_5MIC,in 1mM DMSO,DMSO,222.955498082582,222.5,267.5,0,0.446,5,2.22955498082582,1mM,1,0.997957000000003
Moxifloxacin,"No Salt, free base or acid",PAST-0136479-001,master plate,NA,96w_22atb_240703_plate4,A5,Moxifloxacin_0.5MIC,in 1mM DMSO,DMSO,14.9465287932422,15,475,0,0.298930575864844,0.5,0.149465287932422,1mM,1,1.0035775
Novobiocin,1.0 Sodium(I),PAST-0135796-001,master plate,NA,96w_22atb_240703_plate4,B1,Novobiocin_0.5MIC,in 100mM Water,Water,8,7.5,0,492.5,16,0.5,8,100mM,100,0.9375
Novobiocin,1.0 Sodium(I),PAST-0135796-001,master plate,NA,96w_22atb_240703_plate4,F4,Novobiocin_10MIC,in 100mM Water,Water,160,160,0,340,16,10,160,100mM,100,1
Novobiocin,1.0 Sodium(I),PAST-0135796-001,master plate,NA,96w_22atb_240703_plate4,B8,Novobiocin_1MIC,in 100mM Water,Water,16,15,0,485,16,1,16,100mM,100,0.9375
Novobiocin,1.0 Sodium(I),PAST-0135796-001,master plate,NA,96w_22atb_240703_plate4,G7,Novobiocin_5MIC,in 100mM Water,Water,80,80,0,420,16,5,80,100mM,100,1
Rifabutin,"No Salt, free base or acid",PAST-0000705-004,master plate,NA,96w_22atb_240703_plate4,E11,Rifabutin_0.5MIC,in 1mM DMSO,DMSO,14.7576208353994,15,475,0,0.295152416707988,0.5,0.147576208353994,1mM,1,1.016424
Rifabutin,"No Salt, free base or acid",PAST-0000705-004,master plate,NA,96w_22atb_240703_plate4,C1,Rifabutin_1MIC,in 1mM DMSO,DMSO,29.5152416707988,30,460,0,0.295152416707988,1,0.295152416707988,1mM,1,1.016424
Rifampicin,"No Salt, free base or acid",PAST-0135665-001,master plate,NA,96w_22atb_240703_plate4,B10,Rifampicin_0.5MIC,in 1mM DMSO,DMSO,7.29093251026805,7.5,482.5,0,0.145818650205361,0.5,0.072909325102681,1mM,1,1.028675
Rifampicin,"No Salt, free base or acid",PAST-0135665-001,master plate,NA,96w_22atb_240703_plate4,B6,Rifampicin_1MIC,in 1mM DMSO,DMSO,14.5818650205361,15,475,0,0.145818650205361,1,0.145818650205361,1mM,1,1.028675
Linezolid,"No Salt, free base or acid",PAST-0000076-003,Selleckchem-L3800-01,K8,96w_22atb_240703_plate4,E12,Linezolid_0.5MIC,in 10mM DMSO,DMSO,14.8214021046391,15,475,0,2.96428042092782,0.5,1.48214021046391,10mM,10,1.01205
Linezolid,"No Salt, free base or acid",PAST-0000076-003,Selleckchem-L3800-01,K8,96w_22atb_240703_plate4,A4,Linezolid_10MIC,in 10mM DMSO,DMSO,296.428042092782,297.5,192.5,0,2.96428042092782,10,29.6428042092782,10mM,10,1.00361625
Linezolid,"No Salt, free base or acid",PAST-0000076-003,Selleckchem-L3800-01,K8,96w_22atb_240703_plate4,H2,Linezolid_1MIC,in 10mM DMSO,DMSO,29.6428042092782,30,460,0,2.96428042092782,1,2.96428042092782,10mM,10,1.01205
Linezolid,"No Salt, free base or acid",PAST-0000076-003,Selleckchem-L3800-01,K8,96w_22atb_240703_plate4,F8,Linezolid_5MIC,in 10mM DMSO,DMSO,148.214021046391,147.5,342.5,0,2.96428042092782,5,14.8214021046391,10mM,10,0.9951825
Rifabutin,"No Salt, free base or acid",PAST-0000705-004,Selleckchem-L3800-02,M7,96w_22atb_240703_plate4,H3,Rifabutin_10MIC,in 10mM DMSO,DMSO,29.5152416707988,30,460,0,0.295152416707988,10,2.95152416707988,10mM,10,1.016424
Rifabutin,"No Salt, free base or acid",PAST-0000705-004,Selleckchem-L3800-02,M7,96w_22atb_240703_plate4,B7,Rifabutin_5MIC,in 10mM DMSO,DMSO,14.7576208353994,15,475,0,0.295152416707988,5,1.47576208353994,10mM,10,1.016424
Rifampicin,"No Salt, free base or acid",PAST-0135665-001,Selleckchem-L3800-02,I11,96w_22atb_240703_plate4,H7,Rifampicin_10MIC,in 10mM DMSO,DMSO,14.5818650205361,15,475,0,0.145818650205361,10,1.45818650205361,10mM,10,1.028675
Rifampicin,"No Salt, free base or acid",PAST-0135665-001,Selleckchem-L3800-02,I11,96w_22atb_240703_plate4,E6,Rifampicin_5MIC,in 10mM DMSO,DMSO,7.29093251026805,7.5,482.5,0,0.145818650205361,5,0.729093251026805,10mM,10,1.028675
Amoxicillin,"No Salt, free base or acid",PAST-0000352-004,Selleckchem-L3800-03,I22,96w_22atb_240703_plate4,H10,Amoxicillin_10MIC,in 10mM DMSO,DMSO,34.2081497495963,35,455,0,0.342081497495963,10,3.42081497495963,10mM,10,1.023148
Amoxicillin,"No Salt, free base or acid",PAST-0000352-004,Selleckchem-L3800-03,I22,96w_22atb_240703_plate4,G12,Amoxicillin_5MIC,in 10mM DMSO,DMSO,17.1040748747981,17.5,472.5,0,0.342081497495963,5,1.71040748747981,10mM,10,1.023148
Carbenicillin,2.0 Sodium(I),PAST-0003150-003,Selleckchem-L3800-03,F22,96w_22atb_240703_plate4,D9,Carbenicillin_0.5MIC,in 10mM DMSO,DMSO,3.30337393400123,2.5,487.5,0,0.660674786800246,0.5,0.330337393400123,10mM,10,0.756802
Carbenicillin,2.0 Sodium(I),PAST-0003150-003,Selleckchem-L3800-03,F22,96w_22atb_240703_plate4,H12,Carbenicillin_10MIC,in 10mM DMSO,DMSO,66.0674786800246,65,425,0,0.660674786800246,10,6.60674786800246,10mM,10,0.983842600000001
Carbenicillin,2.0 Sodium(I),PAST-0003150-003,Selleckchem-L3800-03,F22,96w_22atb_240703_plate4,E9,Carbenicillin_1MIC,in 10mM DMSO,DMSO,6.60674786800246,7.5,482.5,0,0.660674786800246,1,0.660674786800246,10mM,10,1.135203
Carbenicillin,2.0 Sodium(I),PAST-0003150-003,Selleckchem-L3800-03,F22,96w_22atb_240703_plate4,D12,Carbenicillin_5MIC,in 10mM DMSO,DMSO,33.0337393400123,32.5,457.5,0,0.660674786800246,5,3.30337393400123,10mM,10,0.983842600000001
Clarithromycin,"No Salt, free base or acid",PAST-0000241-003,Selleckchem-L3800-03,J13,96w_22atb_240703_plate4,H9,Clarithromycin_0.5MIC,in 10mM DMSO,DMSO,6.6848494571902,7.5,482.5,0,1.33696989143804,0.5,0.66848494571902,10mM,10,1.12194
Clarithromycin,"No Salt, free base or acid",PAST-0000241-003,Selleckchem-L3800-03,J13,96w_22atb_240703_plate4,F12,Clarithromycin_10MIC,in 10mM DMSO,DMSO,133.696989143804,132.5,357.5,0,1.33696989143804,10,13.3696989143804,10mM,10,0.991047000000003
Clarithromycin,"No Salt, free base or acid",PAST-0000241-003,Selleckchem-L3800-03,J13,96w_22atb_240703_plate4,D3,Clarithromycin_1MIC,in 10mM DMSO,DMSO,13.3696989143804,12.5,477.5,0,1.33696989143804,1,1.33696989143804,10mM,10,0.934950000000004
Clarithromycin,"No Salt, free base or acid",PAST-0000241-003,Selleckchem-L3800-03,J13,96w_22atb_240703_plate4,C12,Clarithromycin_5MIC,in 10mM DMSO,DMSO,66.848494571902,67.5,422.5,0,1.33696989143804,5,6.6848494571902,10mM,10,1.009746
Trimethoprim,"No Salt, free base or acid",PAST-0000354-007,Selleckchem-L3800-03,B16,96w_22atb_240703_plate4,C4,Trimethoprim_0.5MIC,in 10mM DMSO,DMSO,8.6111876550014,7.5,482.5,0,1.72223753100028,0.5,0.86111876550014,10mM,10,0.870959999999998
